dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
A092,0.040638509497433514,0.05232440373262488,1.1396011396011396,4,4.135667722727868,97.77778501331701,300301.0,0,0.0
A093,0.03954413836210342,0.05035583823540521,1.4245014245014245,5,3.9504707678960167,97.45308842781768,663255.0,0,0.0
A094,0.03381109595621118,0.04225431242595036,0.8547008547008548,3,3.5369856129380666,97.77803796068636,300644.0,0,0.0
A095,0.03956872487634262,0.051360919736458045,0.8547008547008548,3,3.845323149155865,97.44062432333827,657009.0,0,0.0
A096,0.04478876206612262,0.05705814491331252,1.4245014245014245,5,4.531305442592276,97.4424067174881,662508.0,0,0.0
A097,0.0461006401994206,0.061913117425466443,0.8547008547008548,3,4.370490077828516,97.39669415459663,667667.0,0,0.0
A098,0.058719920952966624,0.06987681006555399,0.8547008547008548,3,6.135596285710567,97.79249519754946,301373.0,0,0.0
A099,0.03647800018755155,0.04572222890490571,1.1396011396011396,4,3.6991147520586285,97.76095000987435,301965.0,0,0.0
A100,0.05030077995422272,0.06255727694149474,0.5698005698005698,2,4.963355661217736,97.76403131331857,300598.0,0,0.0
B001,0.3283595057952837,0.41430707859359794,0.8547008547008548,3,41.19737742678385,97.54878245444283,18147.0,0,0.0
B002,0.3508450843242064,0.44699705788815497,0.5698005698005698,2,64.11037672720245,97.89910979228486,8248.0,0,0.0
B003,0.261051471501105,0.3548015301503804,1.1396011396011396,4,24.419894622218134,97.28095166691658,19463.0,0,0.0
B004,0.33155180722570204,0.42570672660935494,1.1396011396011396,4,46.09782647908644,97.35721069054402,35881.0,0,0.0
B005,0.4387944566259394,0.5279295394521998,2.2792022792022792,8,40.46694209403422,97.0956769485711,33398.0,0,0.0
B006,0.31687468552421183,0.4042927762969355,0.8547008547008548,3,32.848739028830096,97.45014245014245,13682.0,0,0.0
B007,0.27079426535596757,0.34142362858256065,3.133903133903134,11,25.83638227097329,97.13924868564044,33073.0,0,0.0
B008,0.3505017056550999,0.42873967001254115,1.1396011396011396,4,43.679290525033636,97.41264026978313,33508.0,0,0.0
B009,0.29189589539391325,0.3774360127403667,0.5698005698005698,2,34.17929805200743,97.72106824925815,8233.0,0,0.0
B010,0.28729572601482894,0.3612309007342252,1.1396011396011396,4,30.21034817904173,97.5144906179389,9926.0,0,0.0
B011,0.3729816719679967,0.44210165496100395,0.8547008547008548,3,43.71354939934714,97.81259538101537,9614.0,0,0.0
B012,0.31551178600292423,0.42060889964456166,0.8547008547008548,3,44.8057540277748,97.84289784289784,7212.0,0,0.0
B013,0.35451294728155697,0.44016730949765054,0.8547008547008548,3,59.14348650758098,97.4418869644485,17103.0,0,0.0
B014,0.22881270862526168,0.2920441729574825,1.1396011396011396,4,22.134185450354106,97.10393817571523,49758.0,0,0.0
B015,0.32431379124050624,0.415701776320252,1.4245014245014245,5,37.04356488524002,97.14518285946858,33416.0,0,0.0
B016,0.3382059257612927,0.407926514849889,0.8547008547008548,3,35.40267685878173,97.2347913524384,23208.0,0,0.0
B017,0.2789546344134209,0.3437200593778659,0.5698005698005698,2,32.35271484328441,97.673314339981,10285.0,0,0.0
B018,0.4063824464934265,0.49525598631328493,1.1396011396011396,4,49.44497843471448,97.81941705018629,8927.0,0,0.0
B019,0.3381395393695668,0.4286730437015242,1.4245014245014245,5,50.33548771745184,97.49093629510273,33882.0,0,0.0
B020,0.3333648330231045,0.4208040035888254,0.5698005698005698,2,37.768682940723295,97.84639927073839,8587.0,0,0.0
B021,0.43527949410912115,0.5358697218012047,0.8547008547008548,3,41.49813761012914,97.53052917232021,7188.0,0,0.0
B022,0.4741990437371317,0.5380821569707432,1.9943019943019942,7,44.5512657436588,96.78366867381408,32950.0,0,0.0
B023,0.45012200142600883,0.528257921961629,2.564102564102564,9,45.81411856695166,97.19753506951972,31388.0,0,0.0
B024,0.23434131162101118,0.27760590551337466,1.9943019943019942,7,24.65761579322561,97.12775403167524,47038.0,0,0.0
B025,0.23544401571900567,0.2992995679434375,1.4245014245014245,5,22.552055262635136,97.50350504273891,21559.0,0,0.0
B026,0.27087473430199,0.33076537486864455,2.564102564102564,9,29.050706318106474,97.3363726545516,46117.0,0,0.0
B027,0.2951669046543138,0.3784659124942771,1.9943019943019942,7,30.063098943076028,97.32859732859734,26305.0,0,0.0
B028,0.2494010962885426,0.30323740688037315,1.7094017094017095,6,27.42679940191522,97.27311260773325,41308.0,0,0.0
B029,0.2551874453213823,0.3226254306179434,1.4245014245014245,5,27.73074301077591,97.1536109150788,37170.0,0,0.0
B030,0.42166225046768313,0.5379796482666234,1.4245014245014245,5,43.50301330943517,97.56006935843448,7877.0,0,0.0
B031,0.3192584965033764,0.3923459327671344,1.4245014245014245,5,34.77945431766105,97.50032379225489,22584.0,0,0.0
B032,0.4243184232292004,0.509443380115401,1.1396011396011396,4,45.60140318162556,97.11708045041378,14317.0,0,0.0
B033,0.2338223166512488,0.28529541551933685,1.4245014245014245,5,23.831978325466867,97.0994623080054,45327.0,0,0.0
B034,0.33654268203242416,0.4305539764146127,1.1396011396011396,4,35.01897605780373,97.6293594711648,8566.0,0,0.0
