dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,expired_rate,expired_units_total,non_expired_negative_days,avg_non_expired_inventory
C030,0.07599498374427568,0.09116112390765342,1.4245014245014245,5,7.602789873023114,72.3249027237354,35688.0,0,0.0
C031,0.069014034405509,0.08865497567492929,1.7094017094017095,6,6.686632191415637,69.29314577718777,86649.0,0,0.0
C032,0.06293056091223838,0.07757764161603385,0.8547008547008548,3,6.434839591412726,80.66514070284099,23964.0,0,0.0
C033,0.04198500646455531,0.05284273274762195,1.4245014245014245,5,4.2029181460019025,71.42965127998387,85047.0,0,0.0
C034,0.0573169451021163,0.06815708153299488,1.1396011396011396,4,5.659162422481367,74.46149979828976,112591.0,0,0.0
C035,0.09439322790872656,0.11036282270526264,1.4245014245014245,5,9.212293148370282,71.97019167979103,37472.0,0,0.0
C036,0.050529980728775674,0.06363349199418535,1.1396011396011396,4,5.109421884056661,75.12980660696817,19968.0,0,0.0
C037,0.04757713119334505,0.05821485601096674,0.5698005698005698,2,4.721455984732758,86.86904550565121,44040.0,0,0.0
C038,0.05867366407273737,0.07347645079862217,1.4245014245014245,5,5.743131339291796,71.46801271682749,76881.0,0,0.0
C039,0.06204219597785386,0.07558148745552629,1.1396011396011396,4,6.222430835388286,74.6391173942785,42554.0,0,0.0
C040,0.04541823432153325,0.056347598309445746,1.1396011396011396,4,4.545422243867368,75.3079617458381,19135.0,0,0.0
C041,0.05282745466593155,0.06670111701541294,0.8547008547008548,3,5.137479354268539,80.27532576712905,61112.0,0,0.0
C042,0.06495814752286674,0.0841988498035808,1.4245014245014245,5,6.526693940981774,71.6840479685802,75198.0,0,0.0
C043,0.05190013798110592,0.06514369789868821,1.1396011396011396,4,5.356738550916763,75.19112803311879,49766.0,0,0.0
C044,0.0637875512169589,0.07699617536890561,1.1396011396011396,4,6.339197907006766,75.29352015056912,50406.0,0,0.0
C045,0.05391640240470502,0.0686548275028134,0.5698005698005698,2,5.333378266044822,86.91467319645885,46143.0,0,0.0
C046,0.08156087941714694,0.09902516509867404,1.4245014245014245,5,7.9946523362321775,71.38248288217164,94035.0,0,0.0
C047,0.0503652645886918,0.06273613048662527,1.1396011396011396,4,5.063501578060523,75.50089293861537,115838.0,0,0.0
C048,0.057593337607717655,0.06783046546054207,0.5698005698005698,2,5.820410579493491,87.13927096948197,42002.0,0,0.0
C049,0.0631249903297989,0.0723598458490946,1.4245014245014245,5,6.247592505970203,71.62974622797252,93287.0,0,0.0
C050,0.07721313451351465,0.08933358280383857,1.1396011396011396,4,7.598222557646285,74.97298939833885,44411.0,0,0.0
C051,0.052735564072133714,0.06457113096397517,0.8547008547008548,3,5.395545845718034,81.04944309468968,25687.0,0,0.0
C052,0.05663245897120513,0.07141189000701183,1.9943019943019942,7,5.7626767275362525,69.13407015857761,71934.0,0,0.0
C053,0.05229175013839656,0.06571551239606273,1.4245014245014245,5,5.309875697985508,72.17760377600118,39453.0,0,0.0
C054,0.06678543928494612,0.07958311798313254,0.5698005698005698,2,6.652429686220176,86.84815384939797,41186.0,0,0.0
C055,0.06487389987741707,0.08186408150142495,0.5698005698005698,2,6.5898134801258195,87.11354807381029,43055.0,0,0.0
C056,0.06880090984287648,0.08180883025168939,1.4245014245014245,5,6.933267407078148,71.75092830619822,37680.0,0,0.0
C057,0.07959753564618464,0.09215324841045963,1.1396011396011396,4,7.918266690195947,75.49091174538287,20683.0,0,0.0
C058,0.0603597481341558,0.07296692032181916,1.4245014245014245,5,6.037270545260521,71.4961441193918,91598.0,0,0.0
C059,0.05873023553291583,0.06902291817077119,1.4245014245014245,5,5.8735372310605936,71.58650772759749,38074.0,0,0.0
