dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,expired_units_total,expired_rate,non_expired_negative_days,avg_non_expired_inventory,total_days,category
E081,0.1515326273025329,0.20955069365715895,1.1396011396011396,4,13.87303439281212,351,351,14,l2,42.395461727530865,58.6276274031918,22674.0,76.46959630366598,0,0.0,351,E
E021,0.15981715074790714,0.18110994634390906,1.1396011396011396,4,16.647888386402833,351,351,14,l2,42.83099640043911,48.53746562016763,23981.0,78.08602780762594,0,0.0,351,E
E083,0.16049970531707913,0.21754689038891029,1.1396011396011396,4,14.790969549961586,351,351,14,l2,46.07210344423825,62.44773358411694,23628.0,76.8615204450083,0,0.0,351,E
E099,0.16324850492686865,0.25503539779169754,0.5698005698005698,2,13.862533294664212,351,351,14,l2,46.10119175316545,72.02170569774542,44568.0,86.30351852210453,0,0.0,351,E
E024,0.16917593599352285,0.26302974178548616,0.5698005698005698,2,14.844754279313015,351,351,14,l2,46.69400428238319,72.59845685024534,46762.0,87.10116042989922,0,0.0,351,E
E077,0.16139325255677098,0.22232646132850112,1.1396011396011396,4,14.832125912978414,351,351,14,l2,47.089585149833255,64.86802060146191,26667.0,78.61733490566037,0,0.0,351,E
C023,0.03749476570019864,0.045983853401674046,1.7094017094017095,6,3.7625854080145773,351,351,14,l2,47.337088285153634,58.05454941554881,65360.0,67.36685872130775,0,0.0,351,C
E038,0.17759845144661127,0.23957710880926483,0.8547008547008548,3,16.906552848967983,351,351,14,l2,47.33782997718122,63.857879113585156,31710.0,82.39145685556161,0,0.0,351,E
E047,0.18232822541737637,0.22392662663957796,1.1396011396011396,4,18.435443972729843,351,351,14,l2,48.22140026700988,59.223170021591635,24944.0,78.96169673947452,0,0.0,351,E
C050,0.07602261602658157,0.09363232664326115,1.1396011396011396,4,7.4722501987382834,351,351,14,l2,48.88795682133316,60.21225500075106,46596.0,74.27551248127013,0,0.0,351,C
C033,0.03859638089667205,0.05186840789076279,1.9943019943019942,7,3.894445235241534,351,351,14,l2,49.49430545942555,66.51377057118965,64403.0,66.68219751092336,0,0.0,351,C
E096,0.08039691496622486,0.11650951276987766,1.4245014245014245,5,7.903654694466536,351,351,14,l2,49.92465178570732,72.34975194262348,50481.0,76.47361803335808,0,0.0,351,E
A064,0.07268901306538322,0.08641911405519595,1.1396011396011396,4,7.516052860436792,351,351,14,l2,50.590517637480154,60.146472340905625,48656.0,73.6308469908143,0,0.0,351,A
D100,0.0973166530319063,0.11790160322679827,0.8547008547008548,3,9.396477979894904,351,351,14,l2,51.87559842986267,62.84860846195688,55377.0,80.57883708748037,0,0.0,351,D
A013,0.031068539818135288,0.03850221080194305,1.1396011396011396,4,3.152320582227634,351,351,14,l2,51.88862167113338,64.30384760593347,118039.0,73.82051282051282,0,0.0,351,A
E022,0.1882505844761977,0.24980469833686533,0.5698005698005698,2,17.417693390744834,351,351,14,l2,54.00217407499678,71.65978709641206,46022.0,86.51890286315869,0,0.0,351,E
E095,0.08313117322629389,0.12673928742899118,0.8547008547008548,3,7.844768068147031,351,351,14,l2,54.568154733157016,83.19296815851729,78427.0,82.63911572869141,0,0.0,351,E
C031,0.041141026977295186,0.05030797144769481,1.1396011396011396,4,4.21400408926063,351,351,14,l2,54.70467268046498,66.89383599449607,96376.0,74.26048497083548,0,0.0,351,C
D081,0.2257596016576804,0.2746644341327373,0.8547008547008548,3,22.090853702733696,351,351,14,l2,54.79783698697834,66.66833559774022,28575.0,82.44373918061166,0,0.0,351,D
A025,0.03306094119799835,0.04325209598825616,1.4245014245014245,5,3.353231150430753,351,351,14,l2,55.089512251725615,72.07105380297253,95608.0,69.56040917887752,0,0.0,351,A
E018,0.2120294077697441,0.2306505721791097,1.1396011396011396,4,22.396001269340452,351,351,14,l2,55.18805325881431,60.03486118029476,27672.0,80.8768084173608,0,0.0,351,E
E048,0.19354437104948516,0.23851063269325623,1.1396011396011396,4,18.667323082036543,351,351,14,l2,55.433644347509386,68.31257098372006,26048.0,78.65684261384224,0,0.0,351,E
E012,0.08670487663551668,0.131064693052842,1.1396011396011396,4,8.123569690970417,351,351,14,l2,56.36730964338645,85.205866420652,55584.0,77.31167241571158,0,0.0,351,E
E034,0.19012357404896837,0.22043338996324077,1.1396011396011396,4,19.58829780083307,351,351,14,l2,56.43311841108767,65.42977986700923,25542.0,77.6612241174861,0,0.0,351,E
E028,0.08689082291115002,0.11560684706859466,1.1396011396011396,4,8.466697138767367,351,351,14,l2,56.78674227936592,75.55385034075822,58120.0,78.03646714466016,0,0.0,351,E
D021,0.04302491678304713,0.05540308211026646,1.4245014245014245,5,4.244984920452054,351,351,14,l2,57.13917331576497,73.57797638259305,87763.0,72.50144568360182,0,0.0,351,D
C070,0.04487225726068596,0.055141799850867965,1.9943019943019942,7,4.464895138888762,351,351,14,l2,57.15153128389436,70.23132981518626,60356.0,65.37624159183719,0,0.0,351,C
C052,0.04552584803948391,0.05539384144127674,1.7094017094017095,6,4.574753886623658,351,351,14,l2,57.17955721469642,69.573560129759,66547.0,67.80961503189387,0,0.0,351,C
C072,0.04421447678407791,0.05776141424622563,1.4245014245014245,5,4.373519001496304,351,351,14,l2,57.31544039938975,74.87640104351966,78068.0,70.60249244849604,0,0.0,351,C
E032,0.20009504543085463,0.26076751202034953,0.5698005698005698,2,19.413624668784728,351,351,14,l2,57.94433275719029,75.51411108773907,47054.0,86.59182922340817,0,0.0,351,E
C010,0.04332453895749667,0.05512209711365957,1.4245014245014245,5,4.2992869722323235,351,351,14,l2,58.19670526647051,74.04405255276991,83634.0,71.2852552355463,0,0.0,351,C
A058,0.035084971841086394,0.04493977084097515,1.1396011396011396,4,3.488241776954828,351,351,14,l2,58.72504594467789,75.21995797326092,116173.0,73.50255926809362,0,0.0,351,A
