dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,expired_units_total,expired_rate,non_expired_negative_days,avg_non_expired_inventory,total_days,category
B093,0.23446652150223482,0.29788332651529037,1.4245014245014245,5,26.866429661054458,351,351,14,l2,10.06001656360016,12.780976915442372,2755.0,71.80088610893928,0,0.0,351,B
A082,0.03700200407735381,0.04554708679375849,1.1396011396011396,4,3.8343523312598284,351,351,14,l2,10.153834845375048,12.498717529595512,19761.0,74.147311545533,0,0.0,351,A
B038,0.2417631796985784,0.30733194771647,1.7094017094017095,6,29.106946108733695,351,351,14,l2,10.239462761820704,13.016514913826335,2519.0,70.59977578475336,0,0.0,351,B
D8,0.09353810543657261,0.1225099534808788,0.0,0,9.63549248381549,351,351,14,l2,10.259078190859645,13.436654356562368,60.0,2.1284143313231643,0,196.56410256410257,351,D
B014,0.21340818001575482,0.2594316242957887,1.9943019943019942,7,25.306919868926602,351,351,14,l2,10.368232745893637,12.604237860729587,2537.0,67.50931346460884,0,0.0,351,B
C10,0.09307202517817212,0.12251426969146977,0.0,0,9.392503193643439,351,351,14,l2,10.370769164511367,13.65144046126232,67.0,2.344296710986704,0,303.14814814814815,351,C
B085,0.21697305030913497,0.268759215869442,1.7094017094017095,6,23.93690158074558,351,351,14,l2,10.395543552845364,12.876705792810274,2651.0,68.82139148494288,0,0.0,351,B
A050,0.03777436381005233,0.048984753644548774,0.5698005698005698,2,3.7821902047391607,351,351,14,l2,10.396774827913747,13.482250983871577,46134.0,86.98947844778822,0,0.0,351,A
C3,0.06052007317422133,0.07450623725107355,0.0,0,6.1056734692933095,351,351,14,l2,10.401176336643099,12.804883920039204,27.0,0.6206896551724138,0,276.0569800569801,351,C
A039,0.03833441463045554,0.04967869684891399,0.5698005698005698,2,3.9774675356038056,351,351,14,l2,10.41691301268618,13.499584346009733,45225.0,86.9310318314624,0,0.0,351,A
A015,0.03794024380120739,0.048588692358129536,1.1396011396011396,4,3.679372324809791,351,351,14,l2,10.444700507188227,13.376148618750259,19726.0,74.08269801329477,0,0.0,351,A
B004,0.2639769644491298,0.31426099790255013,1.1396011396011396,4,31.029791230443276,351,351,14,l2,10.456796905130203,12.448674971045746,2764.0,73.5693372371573,0,0.0,351,B
B083,0.2675738083940437,0.3300902735381119,1.7094017094017095,6,32.31721685834918,351,351,14,l2,10.754027678104771,13.266619626216935,2308.0,69.62292609351432,0,0.0,351,B
C077,0.042435588184952466,0.051730918108078665,1.1396011396011396,4,4.322622455277016,351,351,14,l2,10.777551306973184,13.138326765654337,18566.0,74.48746238716149,0,0.0,351,C
D10,0.08086909517985258,0.10434785717867368,0.0,0,8.028188817540947,351,351,14,l2,10.782546023980345,13.913047623823157,53.0,1.5620394930739758,0,193.3133903133903,351,D
D086,0.04556940485679643,0.05907711755612718,0.8547008547008548,3,4.596223343348289,351,351,14,l2,10.788394315641225,13.986297192817824,27347.0,82.14285714285714,0,0.0,351,D
A074,0.03967763849816851,0.05013209205261218,0.8547008547008548,3,3.9882766847100437,351,351,14,l2,10.821369389718441,13.672635441893194,28308.0,80.56464695335401,0,0.0,351,A
B087,0.29346246681017973,0.3591983480086904,1.1396011396011396,4,39.17483205389868,351,351,14,l2,10.84055368849228,13.268848376868032,2547.0,73.933236574746,0,0.0,351,B
C9,0.04618969440903895,0.059567996493922304,0.0,0,4.63473204665695,351,351,14,l2,10.847077295579096,13.988805740743668,20.0,0.33875338753387535,0,351.3874643874644,351,C
C4,0.06712935439659694,0.08679444993203188,0.0,0,6.799933467835357,351,351,14,l2,10.890446801724842,14.080730377435017,43.0,1.0426770126091174,0,217.8945868945869,351,C
