dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,category
C1,,,,0,5.761893721136019,351,351,14,l2,12.912307969658082,16.476099442102118,C
D9,,,,0,5.569898550347996,351,351,14,l2,12.914185636987677,16.322789516357197,D
A020,,,,0,4.703398093834886,351,351,14,l2,12.933164937361301,15.604193533708747,A
B029,,,,0,24.551925732174038,351,351,14,l2,12.941620001631852,15.77349286047064,B
A090,,,,0,4.723654087516235,351,351,14,l2,13.050430186975655,16.477095423548285,A
D041,,,,0,5.884689881956569,351,351,14,l2,13.053395496315034,16.261982511402113,D
C093,,,,0,5.331562583892924,351,351,14,l2,13.120421301216467,16.25730394635978,C
E9,,,,0,9.69212895702928,351,351,14,l2,13.147422540831995,16.577984329131574,E
C009,,,,0,4.995017126759955,351,351,14,l2,13.185990578136751,16.150325882988938,C
C025,,,,0,5.091403052700999,351,351,14,l2,13.333806997365423,16.22804724001872,C
D2,,,,0,6.127046728341509,351,351,14,l2,13.351696181574093,17.24107591717956,D
E7,,,,0,7.4929507225604555,351,351,14,l2,13.408583341471505,16.00186605883765,E
C024,,,,0,4.946119612157681,351,351,14,l2,13.443522245970453,16.695875768057014,C
C087,,,,0,5.224152895853816,351,351,14,l2,13.579962081723481,16.558271360517065,C
A018,,,,0,4.762331869640542,351,351,14,l2,13.647128135159502,17.426210902223676,A
C014,,,,0,6.074805620520604,351,351,14,l2,13.66541095674494,16.334768594683165,C
D086,,,,0,6.243430251439733,351,351,14,l2,13.788918815961818,18.107521934887217,D
D062,,,,0,6.578085805165923,351,351,14,l2,13.910350175205703,18.124581358051575,D
C054,,,,0,5.768247459836451,351,351,14,l2,13.913209846793695,16.882912080209017,C
C057,,,,0,5.219660247953597,351,351,14,l2,14.350440534311137,18.69184121988296,C
A044,,,,0,5.245067517822316,351,351,14,l2,14.353977122292674,18.27668848347234,A
E8,,,,0,16.429486331401154,351,351,14,l2,14.428493105499644,20.594711258990433,E
C5,,,,0,7.1782522282657535,351,351,14,l2,14.490998935441576,17.850928147906743,C
D5,,,,0,8.821758139232019,351,351,14,l2,14.547484193278873,18.40268647506214,D
C067,,,,0,5.211792437717584,351,351,14,l2,14.842406770261137,19.00114493004305,C
C069,,,,0,5.787501908254965,351,351,14,l2,14.888923883747298,18.477609373409354,C
C073,,,,0,5.534171318695507,351,351,14,l2,14.9430333014083,17.922588703879594,C
C045,,,,0,5.138659210327664,351,351,14,l2,14.993794864514006,17.837243509410747,C
C004,,,,0,5.684885635699487,351,351,14,l2,15.236319117720136,19.326626896067673,C
B015,,,,0,44.01288984628748,351,351,14,l2,15.471458039289434,19.014222618104313,B
B023,,,,0,34.91577029561457,351,351,14,l2,15.501277617254768,18.324793223579753,B
B019,,,,0,40.55806785005725,351,351,14,l2,15.87704227478591,19.394581387007843,B
E5,,,,0,14.944293997187524,351,351,14,l2,15.961621720143096,21.65849475752903,E
A037,,,,0,5.924181648438579,351,351,14,l2,16.053329081171384,19.187490818503704,A
E10,,,,0,17.482945852862436,351,351,14,l2,16.059788006294692,19.09699209525296,E
A10,,,,0,2.6383166897276866,351,351,14,l2,16.613081237806302,21.90680720386746,A
E025,,,,0,6.7744170199975455,351,351,14,l2,17.075751272186775,22.131170985473887,E
B095,,,,0,89.19984597495849,344,351,14,l2,17.35038897908445,19.961355983341825,B
C003,,,,0,6.569442237248557,351,351,14,l2,17.615333675702693,20.99505571774237,C
A053,,,,0,6.413642054128224,351,351,14,l2,17.636209983393563,21.53566688929503,A
C061,,,,0,6.734541394780291,351,351,14,l2,17.707884749528038,22.213864863765064,C
E4,,,,0,10.471933547696034,351,351,14,l2,17.77575351185658,24.50243775153256,E
C062,,,,0,6.449188768694445,351,351,14,l2,18.09640036573341,22.56886280184019,C
C089,,,,0,3.443555961028584,351,351,14,l2,19.01562117101696,22.76346167309354,C
A7,,,,0,3.1476705569904873,351,351,14,l2,19.813496951264057,23.975469161118173,A
E6,,,,0,10.084702122919738,351,351,14,l2,20.160768938311765,27.774758155884008,E
E013,,,,0,7.770172465593824,351,351,14,l2,20.185589730363073,29.037688597490078,E
C064,,,,0,3.8013685682357696,351,351,14,l2,20.544914728892042,25.7804242329666,C
C013,,,,0,3.555190340121954,351,351,14,l2,20.584730960522542,25.273563649970143,C
D6,,,,0,11.546582546133905,351,351,14,l2,22.176885980033852,27.848966264605533,D
A096,,,,0,3.284515943799477,351,351,14,l2,22.420830046487463,27.845624376858545,A
A091,,,,0,3.2494260771755545,351,351,14,l2,22.460278005915235,27.611455885322176,A
C080,,,,0,3.8102286707375033,351,351,14,l2,23.093879524330916,28.62201241618791,C
A3,,,,0,3.4416478073174215,351,351,14,l2,23.21507029249116,29.460221440739726,A
A046,,,,0,3.419515945057923,351,351,14,l2,23.223419418205204,28.66874850647559,A
A9,,,,0,3.5633291441813117,351,351,14,l2,23.26036932340786,29.217092920432336,A
C043,,,,0,4.303565807452056,351,351,14,l2,23.276002716258017,30.225310069186254,C
C011,,,,0,4.056679514126303,351,351,14,l2,23.84072709416286,29.733945838423363,C
C053,,,,0,4.270950847247519,351,351,14,l2,23.844804766501078,30.16202194704003,C
