dataset_id,normalized_mae,normalized_rmse,stockout_rate,stockout_days,mape,mape_count,total_samples,horizon,objective,mae,rmse,category
B029,0.22662727504275101,0.2888252867641872,1.4245014245014245,5,24.269637714401842,351,351,14,l2,9.926403779222946,12.65071213308437,B
A037,0.0363204204532279,0.046504970663330474,0.5698005698005698,2,3.5801648373228647,351,351,14,l2,9.926857251679522,12.710431198419608,A
B095,0.22311445783458028,0.27819279080724196,1.7094017094017095,6,27.94679584911978,351,351,14,l2,9.93971731384425,12.39344920185995,B
B042,0.22739332826066247,0.28823127031996737,1.1396011396011396,4,29.98262376397614,351,351,14,l2,9.941817707943379,12.60170106646786,B
B093,0.24968162333437943,0.3061185382206715,1.4245014245014245,5,30.098149583898604,351,351,14,l2,9.964501936376031,12.216833286026114,B
A032,0.03747366629333164,0.04704313170707056,0.5698005698005698,2,3.8133372018059086,351,351,14,l2,10.059170479081788,12.627931251966348,A
B033,0.1882692042321361,0.23914892817839026,1.4245014245014245,5,19.815509296898547,351,351,14,l2,10.06087026718569,12.77981893402298,B
B064,0.21477524535640857,0.2636787086930139,1.9943019943019942,7,23.56593835906418,351,351,14,l2,10.062006081597671,12.353084574780402,B
A015,0.037774982252708,0.05076737328143459,1.1396011396011396,4,3.8181695380502485,351,351,14,l2,10.105399668275714,13.581067852934886,A
C032,0.04249167213772984,0.05355188089134386,1.1396011396011396,4,4.3041227516456955,351,351,14,l2,10.121007855848335,12.755417236580946,C
A099,0.03686689958815093,0.046695689881261805,1.1396011396011396,4,3.7150116569628433,351,351,14,l2,10.17757503217279,12.890937202605432,A
A053,0.037648678841416434,0.04892391558971035,1.1396011396011396,4,3.7921705549825124,351,351,14,l2,10.307907935438635,13.394977812212975,A
A077,0.03808893647900852,0.04881096009433942,0.8547008547008548,3,3.788262975723945,351,351,14,l2,10.485634627047393,13.437337470073588,A
A067,0.03892415075959338,0.051448489339583625,1.1396011396011396,4,3.924321240772695,351,351,14,l2,10.525933167518758,13.912785501807972,A
B081,0.3145516868370047,0.3866759152940918,1.9943019943019942,7,44.48676887349363,351,351,14,l2,10.55943739601261,12.98063336156776,B
A086,0.0383938975962391,0.04960785462256656,1.1396011396011396,4,3.845347124804909,351,351,14,l2,10.58008931936932,13.670285272117173,A
B004,0.2735025234896597,0.34652136794881505,1.1396011396011396,4,39.75419070170314,351,351,14,l2,10.63153399000831,13.469907533600091,B
A092,0.039118348738040924,0.04933579671813236,1.1396011396011396,4,3.945626325028637,351,351,14,l2,10.664040790165766,13.449416081969268,A
B015,0.2716687904454808,0.3482712855137114,1.4245014245014245,5,33.724053689267194,351,351,14,l2,10.70576270496265,13.724468436540329,B
C060,0.03985059264602582,0.05094349546630748,0.5698005698005698,2,3.9690990828329555,351,351,14,l2,10.725940282188025,13.71163774127768,C
B023,0.295053301778739,0.3643243086149651,1.9943019943019942,7,40.38653527088628,351,351,14,l2,10.749691234035653,13.27344518110591,B
B005,0.26864177024273544,0.33824528813934446,1.9943019943019942,7,31.412888386669017,351,351,14,l2,10.783938868148555,13.577994615052319,B
B073,0.19602707125139793,0.23569789179969292,1.9943019943019942,7,21.30667230085754,351,351,14,l2,10.787632217356132,12.970770592600765,B
B024,0.19566020359316877,0.2345393725583323,1.9943019943019942,7,20.783469705619886,351,351,14,l2,10.844926669245295,12.99989599180158,B
